x,y
1.491,20.264
1.591,20.265
1.691,20.258
1.791,20.245
1.891,20.224
1.991,20.198
2.091,20.166
2.191,20.126
2.291,20.079
2.391,20.023
2.491,19.961
2.591,19.891
2.691,19.817
2.791,19.740
2.891,19.659
2.990,19.575
3.089,19.487
3.188,19.396
3.285,19.302
3.380,19.206
3.472,19.109
3.559,19.011
3.638,18.912
3.708,18.812
3.766,18.712
3.811,18.613
3.843,18.513
3.864,18.413
3.878,18.313
3.886,18.213
3.893,18.113
3.899,18.013
3.905,17.913
3.913,17.813
3.923,17.713
3.935,17.613
3.947,17.513
3.959,17.413
3.968,17.313
3.976,17.213
3.980,17.113
3.983,17.013
3.984,16.913
3.982,16.813
3.978,16.713
3.972,16.613
3.961,16.513
3.947,16.413
3.928,16.313
3.906,16.213
3.880,16.113
3.852,16.013
3.822,15.913
3.791,15.813
3.761,15.713
3.731,15.613
3.703,15.513
3.678,15.413
3.655,15.313
3.638,15.213
3.625,15.113
3.618,15.013
3.617,14.913
3.622,14.813
3.634,14.713
3.654,14.613
3.685,14.513
3.729,14.413
3.784,14.313
3.852,14.213
3.929,14.113
4.014,14.013
4.105,13.913
4.199,13.813
4.295,13.713
4.392,13.613
4.490,13.513
4.588,13.413
4.684,13.313
4.779,13.213
4.872,13.113
4.961,13.013
5.045,12.913
5.125,12.813
5.201,12.713
5.272,12.613
5.340,12.513
5.405,12.413
5.468,12.313
5.529,12.213
5.587,12.113
5.642,12.013
5.691,11.913
5.734,11.813
5.771,11.713
5.802,11.613
5.827,11.513
5.846,11.413
5.861,11.313
5.871,11.213
5.877,11.113
5.879,11.013
5.879,10.913
5.876,10.813
5.869,10.713
5.857,10.613
5.842,10.513
5.821,10.413
5.797,10.313
5.770,10.213
5.743,10.113
5.716,10.013
5.691,9.913
5.669,9.813
5.649,9.713
5.633,9.613
5.622,9.513
5.615,9.413
5.613,9.313
5.616,9.213
5.625,9.113
5.640,9.013
5.662,8.913
5.692,8.813
5.729,8.713
5.772,8.613
5.818,8.513
5.865,8.413
5.910,8.313
5.952,8.213
5.989,8.113
6.018,8.013
6.039,7.913
6.051,7.813
6.056,7.713
6.053,7.613
6.042,7.513
6.024,7.413
5.998,7.313
5.966,7.213
5.930,7.113
5.892,7.013
5.855,6.913
5.823,6.813
5.797,6.713
5.781,6.613
5.774,6.513
5.777,6.413
5.785,6.313
5.795,6.213
5.802,6.113
5.802,6.013
5.791,5.913
5.767,5.813
5.730,5.714
5.679,5.614
5.616,5.515
5.543,5.417
5.461,5.320
5.373,5.226
5.280,5.135
5.185,5.049
5.088,4.970
4.989,4.899
4.890,4.839
4.791,4.788
4.691,4.747
4.591,4.712
4.491,4.680
4.391,4.651
4.291,4.623
4.191,4.594
4.091,4.564
3.991,4.530
3.891,4.493
3.791,4.450
3.691,4.399
3.591,4.340
3.491,4.274
