t_s,fused_yaw_deg,ahrs_yaw_deg,raw_vyaw_deg_s,ahrs_vyaw_deg_s,mag_x,mag_y,mag_z,mag_magnitude,x_m,y_m,is_checkpoint,checkpoint_idx,gt_x,gt_y,gt_error_m
0.000,163.7099,-100.3932,-1.0120,-1.0620,-0.000026,-0.000017,-0.000081,0.000086,15.9021,-0.2027,0,,,,
0.001,163.7655,-100.3932,-1.0120,-1.0620,-0.000026,-0.000017,-0.000081,0.000086,15.8905,-0.1993,0,,,,
0.002,163.8370,-100.3932,-1.0120,-1.0620,-0.000026,-0.000017,-0.000081,0.000086,15.8794,-0.1961,0,,,,
0.003,163.7780,-100.4037,-1.3132,-1.0725,-0.000026,-0.000017,-0.000081,0.000086,15.8683,-0.1929,0,,,,
0.004,163.7522,-100.4174,-1.3132,-1.2799,-0.000026,-0.000017,-0.000081,0.000086,15.8582,-0.1900,0,,,,
0.004,163.7964,-100.4174,-1.3132,-1.2799,-0.000026,-0.000017,-0.000081,0.000086,15.8477,-0.1869,0,,,,
0.005,163.7673,-100.4174,-1.3132,-1.2799,-0.000026,-0.000017,-0.000081,0.000086,15.8381,-0.1841,0,,,,
0.005,163.7648,-100.4174,-1.3132,-1.2799,-0.000026,-0.000017,-0.000081,0.000086,15.8288,-0.1814,0,,,,
0.006,163.8224,-100.4174,-1.3132,-1.2799,-0.000026,-0.000017,-0.000081,0.000086,15.8205,-0.1790,0,,,,
0.006,163.8308,-100.4174,-1.3132,-1.2799,-0.000026,-0.000017,-0.000081,0.000086,15.8116,-0.1764,0,,,,
0.039,163.7675,-100.4549,-1.1171,-1.0075,-0.000026,-0.000017,-0.000080,0.000086,15.8033,-0.1740,0,,,,
0.090,163.7474,-100.4743,0.1856,0.2487,-0.000025,-0.000017,-0.000080,0.000085,15.7951,-0.1716,0,,,,
0.139,163.7701,-100.4524,0.3173,0.1192,-0.000025,-0.000016,-0.000079,0.000085,15.7872,-0.1693,0,,,,
0.189,163.7487,-100.4732,-0.6487,-0.9779,-0.000024,-0.000017,-0.000079,0.000085,15.7794,-0.1670,0,,,,
0.240,163.7199,-100.5036,0.3533,0.0606,-0.000024,-0.000017,-0.000079,0.000084,15.7722,-0.1649,0,,,,
0.289,163.7856,-100.4367,1.6775,1.7240,-0.000023,-0.000017,-0.000079,0.000084,15.7642,-0.1626,0,,,,
0.339,163.8713,-100.3515,1.4486,1.1679,-0.000023,-0.000017,-0.000078,0.000083,15.7565,-0.1604,0,,,,
0.389,163.8871,-100.3356,-0.2168,-0.5080,-0.000023,-0.000017,-0.000078,0.000083,15.7487,-0.1581,0,,,,
0.439,163.8442,-100.3789,-0.9998,-0.8426,-0.000022,-0.000017,-0.000077,0.000082,15.7407,-0.1558,0,,,,
0.490,163.8083,-100.4175,-0.2331,-0.1089,-0.000022,-0.000017,-0.000077,0.000082,15.7331,-0.1536,0,,,,
0.539,163.8442,-100.3773,1.2481,1.1750,-0.000021,-0.000017,-0.000077,0.000081,15.7242,-0.1510,0,,,,
0.589,163.8681,-100.3551,-0.0781,-0.2106,-0.000021,-0.000017,-0.000076,0.000081,15.7157,-0.1485,0,,,,
0.639,163.8285,-100.3932,-0.9494,-1.0365,-0.000021,-0.000017,-0.000076,0.000080,15.7072,-0.1461,0,,,,
0.689,163.8042,-100.4178,0.1247,0.0484,-0.000020,-0.000017,-0.000075,0.000080,15.6982,-0.1435,0,,,,
0.739,163.8455,-100.3777,1.3683,1.1550,-0.000020,-0.000017,-0.000075,0.000079,15.6890,-0.1408,0,,,,
0.789,163.8685,-100.3545,-0.0583,-0.2772,-0.000020,-0.000017,-0.000074,0.000079,15.6796,-0.1381,0,,,,
0.839,163.8133,-100.4089,-1.2325,-1.0417,-0.000019,-0.000017,-0.000074,0.000078,15.6696,-0.1352,0,,,,
0.889,163.8144,-100.4064,1.1108,1.1346,-0.000019,-0.000017,-0.000073,0.000077,15.6588,-0.1321,0,,,,
0.939,163.8730,-100.3498,1.0431,0.8605,-0.000018,-0.000017,-0.000072,0.000076,15.6477,-0.1288,0,,,,
0.989,163.8549,-100.3681,-0.6124,-0.6635,-0.000018,-0.000017,-0.000071,0.000076,15.6356,-0.1253,0,,,,
1.039,163.8517,-100.3697,0.5077,0.6053,-0.000018,-0.000017,-0.000071,0.000075,15.6226,-0.1216,0,,,,
1.089,163.9043,-100.3222,0.5487,0.1198,-0.000017,-0.000016,-0.000070,0.000074,15.6095,-0.1178,0,,,,
