t_s,fused_yaw_deg,ahrs_yaw_deg,raw_vyaw_deg_s,ahrs_vyaw_deg_s,mag_x,mag_y,mag_z,mag_magnitude,x_m,y_m,is_checkpoint,checkpoint_idx,gt_x,gt_y,gt_error_m
0.000,0.0624,95.8394,0.0414,0.0148,0.000035,-0.000000,-0.000020,0.000040,0.0006,0.0000,0,,,,
0.045,0.0625,95.8394,0.0330,0.1459,0.000035,-0.000000,-0.000021,0.000040,0.0009,0.0000,0,,,,
0.094,0.0611,95.8394,0.0782,-0.0032,0.000035,-0.000000,-0.000020,0.000040,0.0012,0.0000,0,,,,
0.144,0.0611,95.8394,-0.0676,-0.0956,0.000035,-0.000000,-0.000020,0.000040,0.0015,0.0000,0,,,,
0.195,0.0610,95.8394,0.0248,-0.1688,0.000035,-0.000000,-0.000020,0.000040,0.0018,0.0000,0,,,,
0.244,0.0615,95.8393,-0.3170,-0.3012,0.000035,-0.000000,-0.000020,0.000040,0.0022,0.0000,0,,,,
0.295,0.0702,95.8422,0.3448,0.4220,0.000035,-0.000000,-0.000020,0.000040,0.0026,0.0000,0,,,,
0.345,0.0816,95.8582,-0.3613,-0.3670,0.000035,-0.000000,-0.000020,0.000040,0.0033,0.0000,0,,,,
0.394,0.0549,95.8334,-0.6207,-0.8285,0.000035,-0.000000,-0.000020,0.000040,0.0044,0.0000,0,,,,
0.445,0.0318,95.8098,-0.2034,-0.1241,0.000035,-0.000000,-0.000020,0.000040,0.0062,0.0000,0,,,,
0.495,0.0511,95.8275,0.3914,0.3942,0.000035,-0.000000,-0.000020,0.000040,0.0089,0.0000,0,,,,
0.545,0.0548,95.8332,0.0803,0.2469,0.000035,-0.000000,-0.000020,0.000041,0.0126,0.0000,0,,,,
0.594,0.0522,95.8298,0.0870,-0.1899,0.000035,-0.000000,-0.000020,0.000041,0.0172,0.0000,0,,,,
0.648,0.0331,95.8099,-1.2208,-1.3376,0.000035,-0.000001,-0.000020,0.000041,0.0233,0.0000,0,,,,
0.694,-0.0033,95.7751,0.0569,-0.0133,0.000035,-0.000001,-0.000020,0.000040,0.0313,0.0000,0,,,,
0.744,0.0132,95.7913,0.6021,0.4771,0.000035,-0.000001,-0.000020,0.000040,0.0414,0.0000,0,,,,
0.794,0.0282,95.8055,0.2930,0.2330,0.000034,-0.000001,-0.000020,0.000040,0.0519,0.0000,0,,,,
0.844,0.0176,95.7969,0.3996,0.2469,0.000034,-0.000001,-0.000019,0.000039,0.0649,0.0000,0,,,,
0.894,0.0382,95.8149,0.2086,-0.1123,0.000033,-0.000002,-0.000019,0.000038,0.0797,0.0000,0,,,,
0.944,0.0042,95.7828,-0.9152,-0.8968,0.000032,-0.000002,-0.000019,0.000038,0.0951,0.0001,0,,,,
0.994,0.0040,95.7832,0.1275,-0.0573,0.000031,-0.000003,-0.000019,0.000037,0.1104,0.0001,0,,,,
1.044,-0.0088,95.7682,-1.2919,-1.6308,0.000031,-0.000003,-0.000019,0.000036,0.1259,0.0001,0,,,,
1.094,-0.0973,95.6829,-1.5188,-1.9861,0.000030,-0.000003,-0.000019,0.000036,0.1414,0.0000,0,,,,
1.145,-0.2122,95.5683,-1.9558,-1.9998,0.000029,-0.000004,-0.000019,0.000035,0.1560,0.0000,0,,,,
1.195,-0.2944,95.4859,-1.0420,-0.8858,0.000029,-0.000005,-0.000018,0.000035,0.1703,-0.0001,0,,,,
1.244,-0.3339,95.4445,-1.1503,-1.0646,0.000028,-0.000005,-0.000018,0.000034,0.1834,-0.0001,0,,,,
1.294,-0.3910,95.3878,-0.6625,-0.7845,0.000028,-0.000005,-0.000018,0.000034,0.1956,-0.0002,0,,,,
1.344,-0.4024,95.3749,-0.0260,0.1331,0.000028,-0.000005,-0.000018,0.000034,0.2075,-0.0003,0,,,,
1.394,-0.3732,95.4033,1.0646,1.2361,0.000028,-0.000006,-0.000018,0.000034,0.2183,-0.0004,0,,,,
1.445,-0.3321,95.4446,0.5659,0.6904,0.000027,-0.000006,-0.000018,0.000033,0.2285,-0.0004,0,,,,
1.494,-0.3015,95.4756,0.2919,0.0459,0.000027,-0.000006,-0.000018,0.000033,0.2381,-0.0005,0,,,,
1.545,-0.3376,95.4410,-0.5898,-0.7344,0.000026,-0.000006,-0.000018,0.000033,0.2476,-0.0006,0,,,,
1.595,-0.3744,95.4034,-1.4980,-1.3893,0.000026,-0.000007,-0.000018,0.000033,0.2563,-0.0006,0,,,,
1.645,-0.4675,95.3125,-1.8858,-1.8183,0.000026,-0.000007,-0.000018,0.000033,0.2644,-0.0007,0,,,,
1.694,-0.5289,95.2499,-0.8929,-1.1108,0.000026,-0.000007,-0.000018,0.000032,0.2722,-0.0007,0,,,,
1.747,-0.6026,95.1776,-1.7357,-1.7880,0.000025,-0.000007,-0.000018,0.000032,0.2802,-0.0008,0,,,,
1.794,-0.6822,95.0984,-1.1823,-1.1325,0.000025,-0.000007,-0.000018,0.000032,0.2879,-0.0009,0,,,,
1.844,-0.7346,95.0432,-1.3039,-1.5438,0.000025,-0.000007,-0.000018,0.000032,0.2959,-0.0010,0,,,,
1.895,-0.8026,94.9769,-1.2536,-1.0631,0.000025,-0.000008,-0.000018,0.000032,0.3046,-0.0011,0,,,,
