t_s,fused_yaw_deg,ahrs_yaw_deg,diff_deg
57.037,-0.2163,90.3347,-90.5510
57.114,-0.2155,90.3347,-90.5502
57.140,-0.2162,90.3347,-90.5509
57.184,-0.2160,90.3341,-90.5501
57.229,-0.2165,90.3341,-90.5505
57.294,-0.2183,90.3341,-90.5524
57.338,-0.2240,90.3341,-90.5581
57.431,-0.2175,90.3334,-90.5508
57.447,-0.2179,90.3334,-90.5513
57.477,-0.2063,90.3334,-90.5396
57.572,-0.2166,90.3334,-90.5500
57.680,-0.2410,90.3325,-90.5735
57.683,-0.2238,90.3325,-90.5563
57.796,-0.2174,90.3325,-90.5499
57.821,-0.2230,90.3325,-90.5555
57.912,-0.2154,90.3325,-90.5479
57.938,-0.2179,90.3317,-90.5497
58.013,-0.2134,90.3317,-90.5452
58.057,-0.2125,90.3317,-90.5442
58.084,-0.2204,90.3317,-90.5522
58.181,-0.2203,90.3317,-90.5520
58.235,-0.2107,90.3310,-90.5417
58.259,-0.2178,90.3310,-90.5488
58.286,-0.2232,90.3310,-90.5542
58.344,-0.2188,90.3310,-90.5498
58.415,-0.2211,90.3310,-90.5521
58.443,-0.2212,90.3302,-90.5514
58.478,-0.2213,90.3302,-90.5515
58.525,-0.2226,90.3302,-90.5529
58.574,-0.2224,90.3295,-90.5519
58.612,-0.2224,90.3295,-90.5520
58.704,-0.2216,90.3295,-90.5511
58.742,-0.2208,90.3295,-90.5503
58.796,-0.2221,90.3295,-90.5516
58.836,-0.2204,90.3295,-90.5499
58.888,-0.2225,90.3288,-90.5513
58.971,-0.2225,90.3288,-90.5513
58.999,-0.2221,90.3288,-90.5509
59.054,-0.2220,90.3288,-90.5508
59.090,-0.2222,90.3288,-90.5510
59.170,-0.2200,90.3282,-90.5482
59.228,-0.2222,90.3282,-90.5504
59.345,-0.2222,90.3282,-90.5504
59.394,-0.2213,90.3282,-90.5495
59.448,-0.2192,90.3276,-90.5468
59.478,-0.2091,90.3276,-90.5367
59.542,-0.2245,90.3276,-90.5521
59.590,-0.2236,90.3276,-90.5512
59.619,-0.2238,90.3276,-90.5514
59.679,-0.2211,90.3270,-90.5481
59.762,-0.2269,90.3270,-90.5539
59.789,-0.2245,90.3270,-90.5515
59.846,-0.2235,90.3270,-90.5505
59.907,-0.2241,90.3262,-90.5504
59.953,-0.2222,90.3262,-90.5484
60.063,-0.2435,90.3262,-90.5697
60.087,-0.2254,90.3262,-90.5516
60.132,-0.2262,90.3256,-90.5517
60.163,-0.2252,90.3256,-90.5508
60.240,-0.2245,90.3256,-90.5501
60.309,-0.2230,90.3256,-90.5486
60.360,-0.2260,90.3256,-90.5516
