x_m,y_m,yaw_rad
-0.0000,0.0000,3.4034
-0.2575,-0.0454,3.2289
-0.5190,-0.0454,3.0543
-0.7765,0.0000,2.8798
-1.0222,0.0894,2.7053
-1.2486,0.2202,2.5307
-1.4628,0.3701,2.5307
-1.6770,0.5201,2.5307
-1.9034,0.6508,2.7053
-2.1491,0.7403,2.8798
-2.4066,0.7857,3.0543
-2.6681,0.7857,3.2289
-2.9255,0.7403,3.4034
-3.1781,0.6726,3.4034
-3.4238,0.5832,3.5779
-3.6608,0.4727,3.5779
-3.8977,0.3622,3.5779
-4.1242,0.2314,3.7525
-4.3245,0.0634,3.9270
-4.4925,-0.1369,4.1015
-4.6233,-0.3634,4.2761
-4.7338,-0.6003,4.2761
-4.8443,-0.8373,4.2761
-4.9750,-1.0638,4.1015
-5.1250,-1.2779,4.1015
-5.2750,-1.4921,4.1015
-5.3540,-1.6124,4.1015
-5.4322,-1.7332,4.1015
-5.5129,-1.8523,4.0143
-5.6040,-1.9636,3.9270
-5.7053,-2.0657,3.8397
-5.8160,-2.1576,3.7525
-5.9350,-2.2385,3.6652
-6.0612,-2.3076,3.5779
-6.1934,-2.3643,3.4907
-6.3304,-2.4080,3.3161
-6.4710,-2.4385,3.2289
-6.6138,-2.4553,3.1416
-6.7577,-2.4584,3.0543
-6.9011,-2.4477,2.9671
-7.0429,-2.4233,2.8798
-7.1817,-2.3854,2.7925
-7.3162,-2.3344,2.7053
-7.4452,-2.2708,2.6180
-7.5675,-2.1951,2.5307
-7.6820,-2.1080,2.4435
-7.8962,-1.9580,2.6180
-8.1226,-1.8273,2.6180
-8.3491,-1.6966,2.6180
-8.5860,-1.5861,2.7925
-8.8386,-1.5184,2.9671
-9.0991,-1.4956,3.1416
-9.3595,-1.5184,3.3161
-9.6121,-1.5861,3.4907
-9.8491,-1.6966,3.6652
-10.0632,-1.8465,3.8397
-10.2635,-2.0146,3.8397
-10.4638,-2.1827,3.8397
-10.6487,-2.3676,4.0143
-10.7987,-2.5817,4.1888
-10.9092,-2.8187,4.3633
-10.9769,-3.0713,4.5379
-10.9996,-3.3317,4.7124
-10.9769,-3.5922,4.8869
-10.9315,-3.8497,4.8869
-10.8861,-4.1072,4.8869
-10.8406,-4.3647,4.8869
-10.7730,-4.6172,5.0615
-10.6625,-4.8542,5.2360
-10.5125,-5.0684,5.4105
-10.3276,-5.2533,5.5851
-10.1134,-5.4033,5.7596
-9.8765,-5.5138,5.9341
-9.6239,-5.5814,6.1087
-9.3634,-5.6042,6.2832
-9.1030,-5.5814,6.4577
-8.8504,-5.5138,6.6323
-8.6047,-5.4243,6.6323
-8.3590,-5.3349,6.6323
-8.1133,-5.2455,6.6323
-7.8676,-5.1560,6.6323
-7.6219,-5.0666,6.6323
-7.3762,-4.9772,6.6323
-7.1392,-4.8667,6.8068
-6.9251,-4.7167,6.9813
-6.7402,-4.5318,7.1559
-6.5902,-4.3177,7.3304
-6.4797,-4.0807,7.5049
-6.3903,-3.8350,7.5049
-6.3009,-3.5893,7.5049
-6.2114,-3.3436,7.5049
-6.1220,-3.0979,7.5049
-6.0326,-2.8522,7.5049
-5.9431,-2.6065,7.5049
-5.8537,-2.3608,7.5049
-5.7643,-2.1151,7.5049
-5.6749,-1.8694,7.5049
-5.5854,-1.6237,7.5049
-5.4960,-1.3780,7.5049
-5.4066,-1.1323,7.5049
-5.3172,-0.8866,7.5049
-5.2277,-0.6409,7.5049
-5.1383,-0.3952,7.5049
-5.0489,-0.1495,7.5049
-4.9594,0.0962,7.5049
-4.8489,0.3332,7.3304
-4.7182,0.5596,7.3304
-4.5875,0.7860,7.3304
-4.4567,1.0125,7.3304
-4.3260,1.2389,7.3304
-4.2155,1.4759,7.5049
-4.1478,1.7284,7.6795
