x_m,y_m,yaw_rad
0.0000,0.0000,6.5450
0.2575,0.0454,6.3705
0.5190,0.0454,6.1959
0.7765,-0.0000,6.0214
1.0222,-0.0894,5.8469
1.2486,-0.2202,5.6723
1.4628,-0.3701,5.6723
1.6770,-0.5201,5.6723
1.9034,-0.6508,5.8469
2.1491,-0.7403,6.0214
2.4066,-0.7857,6.1959
2.6681,-0.7857,6.3705
2.9255,-0.7403,6.5450
3.1781,-0.6726,6.5450
3.4238,-0.5832,6.7195
3.6608,-0.4727,6.7195
3.8977,-0.3622,6.7195
4.1242,-0.2314,6.8941
4.3245,-0.0634,7.0686
4.4925,0.1369,7.2431
4.6233,0.3634,7.4177
4.7338,0.6003,7.4177
4.8443,0.8373,7.4177
4.9750,1.0638,7.2431
5.1250,1.2779,7.2431
5.2750,1.4921,7.2431
5.3540,1.6124,7.2431
5.4322,1.7332,7.2431
5.5129,1.8523,7.1559
5.6040,1.9636,7.0686
5.7053,2.0657,6.9813
5.8160,2.1576,6.8941
5.9350,2.2385,6.8068
6.0612,2.3076,6.7195
6.1934,2.3643,6.6323
6.3304,2.4080,6.4577
6.4710,2.4385,6.3705
6.6138,2.4553,6.2832
6.7577,2.4584,6.1959
6.9011,2.4477,6.1087
7.0429,2.4233,6.0214
7.1817,2.3854,5.9341
7.3162,2.3344,5.8469
7.4452,2.2708,5.7596
7.5675,2.1951,5.6723
7.6820,2.1080,5.5851
7.8962,1.9580,5.7596
8.1226,1.8273,5.7596
8.3491,1.6966,5.7596
8.5860,1.5861,5.9341
8.8386,1.5184,6.1087
9.0991,1.4956,6.2832
9.3595,1.5184,6.4577
9.6121,1.5861,6.6323
9.8491,1.6966,6.8068
10.0632,1.8465,6.9813
10.2635,2.0146,6.9813
10.4638,2.1827,6.9813
10.6487,2.3676,7.1559
10.7987,2.5817,7.3304
10.9092,2.8187,7.5049
10.9769,3.0713,7.6795
10.9996,3.3317,7.8540
10.9769,3.5922,8.0285
10.9315,3.8497,8.0285
10.8861,4.1072,8.0285
10.8406,4.3647,8.0285
10.7730,4.6172,8.2031
10.6625,4.8542,8.3776
10.5125,5.0684,8.5521
10.3276,5.2533,8.7267
10.1134,5.4033,8.9012
9.8765,5.5138,9.0757
9.6239,5.5814,9.2503
9.3634,5.6042,9.4248
9.1030,5.5814,9.5993
8.8504,5.5138,9.7739
8.6047,5.4243,9.7739
8.3590,5.3349,9.7739
8.1133,5.2455,9.7739
7.8676,5.1560,9.7739
7.6219,5.0666,9.7739
7.3762,4.9772,9.7739
7.1392,4.8667,9.9484
6.9251,4.7167,10.1229
6.7402,4.5318,10.2975
6.5902,4.3177,10.4720
6.4797,4.0807,10.6465
6.3903,3.8350,10.6465
6.3009,3.5893,10.6465
6.2114,3.3436,10.6465
6.1220,3.0979,10.6465
6.0326,2.8522,10.6465
5.9431,2.6065,10.6465
5.8537,2.3608,10.6465
5.7643,2.1151,10.6465
5.6749,1.8694,10.6465
5.5854,1.6237,10.6465
5.4960,1.3780,10.6465
5.4066,1.1323,10.6465
5.3172,0.8866,10.6465
5.2277,0.6409,10.6465
5.1383,0.3952,10.6465
5.0489,0.1495,10.6465
4.9594,-0.0962,10.6465
4.8489,-0.3332,10.4720
4.7182,-0.5596,10.4720
4.5875,-0.7860,10.4720
4.4567,-1.0125,10.4720
4.3260,-1.2389,10.4720
4.2155,-1.4759,10.6465
4.1478,-1.7284,10.8211
4.1250,-1.9889,4.7124
4.1478,-2.2494,4.8869
4.1932,-2.5069,4.8869
4.2386,-2.7644,4.8869
4.2840,-3.0219,4.8869
4.3517,-3.2744,5.0615
4.4411,-3.5201,5.0615
4.5306,-3.7658,5.0615
4.6411,-4.0028,5.2360
4.7718,-4.2292,5.2360
4.8391,-4.3596,5.0615
4.8943,-4.4956,5.0615
4.9465,-4.6329,5.0615
4.9986,-4.7701,5.0615
5.0507,-4.9073,5.0615
5.1051,-5.0437,5.0615
5.1712,-5.1747,5.1487
5.2493,-5.2989,5.2360
5.3388,-5.4152,5.4105
5.4390,-5.5225,5.4978
5.5488,-5.6198,5.5851
5.6673,-5.7064,5.6723
5.7935,-5.7813,5.7596
5.9262,-5.8439,5.8469
6.0642,-5.8938,5.9341
6.2064,-5.9303,6.0214
6.3513,-5.9532,6.1087
6.4978,-5.9624,6.1959
6.6444,-5.9576,6.2832
6.7900,-5.9390,6.4577
7.0505,-5.9162,6.2832
7.3119,-5.9162,6.2832
7.5734,-5.9162,6.2832
7.8349,-5.9162,6.2832
8.0963,-5.9162,6.2832
8.3578,-5.9162,6.2832
8.6193,-5.9162,6.2832
8.8807,-5.9162,6.2832
9.1422,-5.9162,6.2832
9.4037,-5.9162,6.2832
9.6651,-5.9162,6.2832
9.9266,-5.9162,6.2832
10.1881,-5.9162,6.2832
10.4495,-5.9162,6.2832
10.7110,-5.9162,6.2832
10.9715,-5.8934,6.4577
11.1113,-5.8667,6.4577
11.2503,-5.8359,6.4577
11.3883,-5.8010,6.4577
11.5252,-5.7622,6.5450
11.6610,-5.7194,6.5450
11.7955,-5.6727,6.5450
11.9285,-5.6221,6.6323
12.0601,-5.5677,6.6323
12.1909,-5.5116,6.6323
12.3218,-5.4556,6.6323
12.4526,-5.3995,6.6323
12.5835,-5.3434,6.6323
12.7133,-5.2852,6.7195
12.8414,-5.2231,6.7195
12.9677,-5.1574,6.7195
13.0920,-5.0880,6.8068
13.3062,-4.9380,6.9813
13.5065,-4.7700,6.9813
13.7068,-4.6019,6.9813
13.9071,-4.4338,6.9813
14.1074,-4.2658,6.9813
14.3215,-4.1158,6.8068
14.5585,-4.0053,6.6323
14.8111,-3.9376,6.4577
15.0715,-3.9148,6.2832
15.3330,-3.9148,6.2832
15.5945,-3.9148,6.2832
15.8559,-3.9148,6.2832
16.1174,-3.9148,6.2832
16.3789,-3.9148,6.2832
16.6403,-3.9148,6.2832
16.9018,-3.9148,6.2832
17.1633,-3.9148,6.2832
17.4247,-3.9148,6.2832
17.6862,-3.9148,6.2832
17.9477,-3.9148,6.2832
18.2092,-3.9148,6.2832
18.4706,-3.9148,6.2832
18.7311,-3.8920,6.4577
18.9837,-3.8244,6.6323
19.2206,-3.7139,6.8068
19.4348,-3.5639,6.9813
19.6197,-3.3790,7.1559
19.7697,-3.1648,7.3304
19.9004,-2.9384,7.3304
20.0311,-2.7119,7.3304
20.1619,-2.4855,7.3304
20.2724,-2.2485,7.5049
20.3400,-1.9960,7.6795
20.3628,-1.7355,7.8540
20.3400,-1.4750,8.0285
20.2946,-1.2175,8.0285
20.2492,-0.9600,8.0285
20.2038,-0.7026,8.0285
20.1810,-0.4421,7.8540
20.1743,-0.2996,7.9413
20.1540,-0.1585,8.0285
20.1204,-0.0199,8.1158
20.0738,0.1148,8.2031
20.0146,0.2446,8.2903
19.9434,0.3681,8.3776
19.8608,0.4843,8.4649
19.7675,0.5922,8.5521
19.6647,0.6910,8.6394
19.5595,0.7874,8.6394
19.4543,0.8837,8.6394
19.3491,0.9801,8.6394
19.2440,1.0764,8.6394
19.1388,1.1728,8.6394
19.0336,1.2691,8.6394
18.9286,1.3657,8.6394
18.8302,1.4689,8.5521
18.7421,1.5810,8.4649
18.6650,1.7010,8.3776
18.5545,1.9380,8.2031
18.4868,2.1905,8.0285
18.4640,2.4510,7.8540
18.4868,2.7115,7.6795
18.5322,2.9690,7.6795
18.5776,3.2265,7.6795
18.6230,3.4840,7.6795
18.6458,3.7444,7.8540
18.6230,4.0049,8.0285
18.5776,4.2624,8.0285
18.5322,4.5199,8.0285
18.4868,4.7774,8.0285
18.4414,5.0349,8.0285
18.3737,5.2874,8.2031
18.2632,5.5244,8.3776
18.1133,5.7386,8.5521
17.9284,5.9235,8.7267
17.7142,6.0734,8.9012
17.4772,6.1839,9.0757
17.2315,6.2734,9.0757
16.9858,6.3628,9.0757
16.7401,6.4522,9.0757
16.4876,6.5199,9.2503
16.2271,6.5427,9.4248
15.9666,6.5199,9.5993
15.7141,6.4522,9.7739
15.4771,6.3417,9.9484
15.2507,6.2110,9.9484
15.0365,6.0610,10.1229
14.8362,5.8930,10.1229
14.6359,5.7249,10.1229
14.4356,5.5568,10.1229
14.2353,5.3888,10.1229
14.0350,5.2207,10.1229
13.8501,5.0358,10.2975
13.6821,4.8355,10.2975
13.5140,4.6352,10.2975
13.3459,4.4349,10.2975
13.1779,4.2346,10.2975
12.9930,4.0497,10.1229
12.7927,3.8817,10.1229
