x_m,y_m,yaw_rad
7.2285,20.8393,0.8727
7.3084,20.9575,1.0472
7.3626,21.0894,1.2217
7.3891,21.2295,1.4835
7.3867,21.3722,1.6581
7.3729,21.5144,1.6581
7.3591,21.6566,1.6581
7.3453,21.7988,1.6581
7.3315,21.9410,1.6581
7.3177,22.0833,1.6581
7.3039,22.2255,1.6581
7.2901,22.3677,1.6581
7.2763,22.5099,1.6581
7.2625,22.6521,1.6581
7.2395,22.7929,1.7453
7.1889,22.9263,2.0071
7.1124,23.0467,2.1817
7.0130,23.1490,2.4435
7.1942,23.1251,6.0214
7.3630,23.0552,5.7596
7.5080,22.9440,5.4978
7.6192,22.7990,5.2360
7.6891,22.6302,4.9742
7.7130,22.4490,4.7124
7.6891,22.2678,4.4506
7.6419,22.0913,4.4506
7.5946,21.9148,4.4506
7.5473,21.7383,4.4506
7.5234,21.5571,4.7124
7.5234,21.3744,4.7124
7.4996,21.1932,4.4506
7.4296,21.0244,4.1888
7.3184,20.8794,3.9270
7.1734,20.7682,3.6652
7.0046,20.6982,3.4034
6.8281,20.6509,3.4034
6.6516,20.6036,3.4034
6.4750,20.5563,3.4034
6.2985,20.5091,3.4034
6.1220,20.4618,3.4034
5.9455,20.4145,3.4034
5.7690,20.3672,3.4034
5.5925,20.3199,3.4034
5.4160,20.2726,3.4034
5.2395,20.2253,3.4034
5.0630,20.1780,3.4034
4.8818,20.1541,3.1416
4.6991,20.1541,3.1416
4.5163,20.1541,3.1416
4.3336,20.1541,3.1416
4.1508,20.1541,3.1416
3.9681,20.1541,3.1416
3.7854,20.1541,3.1416
3.6026,20.1541,3.1416
3.4199,20.1541,3.1416
3.2372,20.1541,3.1416
3.0544,20.1541,3.1416
2.8717,20.1541,3.1416
2.6890,20.1541,3.1416
2.5062,20.1541,3.1416
2.3235,20.1541,3.1416
2.1423,20.1780,2.8798
1.9658,20.2253,2.8798
1.7893,20.2726,2.8798
1.6081,20.2964,3.1416
1.4254,20.2964,3.1416
1.2426,20.2964,3.1416
1.0599,20.2964,3.1416
0.8772,20.2964,3.1416
0.6960,20.2726,3.4034
0.5272,20.2026,3.6652
0.3689,20.1113,3.6652
0.2107,20.0199,3.6652
0.0524,19.9285,3.6652
-0.1059,19.8372,3.6652
-0.2641,19.7458,3.6652
-0.4224,19.6544,3.6652
-0.5912,19.5845,3.4034
-0.7677,19.5372,3.4034
-0.9442,19.4899,3.4034
-1.1207,19.4426,3.4034
-1.2972,19.3953,3.4034
-1.4737,19.3480,3.4034
-1.6503,19.3007,3.4034
-1.8268,19.2534,3.4034
-1.9956,19.1835,3.6652
-2.1538,19.0921,3.6652
-2.3121,19.0007,3.6652
-2.4704,18.9094,3.6652
-2.6286,18.8180,3.6652
-2.7869,18.7266,3.6652
-2.9451,18.6353,3.6652
-3.0792,18.5756,3.4034
-3.2228,18.5452,3.2289
-3.3696,18.5455,2.9671
-3.5131,18.5763,2.7925
-3.6523,18.6236,2.7925
-3.7915,18.6709,2.7925
-3.9307,18.7182,2.7925
-4.0699,18.7655,2.7925
-4.2091,18.8129,2.7925
-4.3483,18.8602,2.7925
-4.4875,18.9075,2.7925
-4.6268,18.9548,2.7925
-4.7660,19.0021,2.7925
-4.9054,19.0487,2.7925
-5.0499,19.0745,3.0543
-5.1966,19.0695,3.2289
-5.3390,19.0340,3.4907
-5.5011,18.9496,3.7525
-5.6358,18.8262,4.0143
-5.7340,18.6720,4.2761
-5.8112,18.5064,4.2761
-5.8885,18.3408,4.2761
-5.9657,18.1752,4.2761
-6.0429,18.0096,4.2761
-6.1201,17.8440,4.2761
-6.1974,17.6784,4.2761
-6.2746,17.5127,4.2761
-6.3518,17.3471,4.2761
-6.4291,17.1815,4.2761
-6.5063,17.0159,4.2761
-6.5835,16.8503,4.2761
-6.6385,16.6760,4.5379
-6.6464,16.4934,4.7997
-6.6305,16.3114,4.7997
-6.6146,16.1293,4.7997
-6.5986,15.9473,4.7997
-6.5591,15.7689,5.0615
