x_m,y_m,yaw_rad
6.2365,11.2143,1.7453
6.2014,11.3599,1.8326
6.1519,11.5012,1.9199
6.0913,11.6382,1.9199
6.0299,11.7748,1.9199
5.9685,11.9114,1.9199
5.9070,12.0480,2.0071
5.8324,12.1882,2.0944
5.7476,12.3226,2.0944
5.6626,12.4567,2.0944
5.5775,12.5909,2.0944
5.4924,12.7251,2.0944
5.4073,12.8593,2.0944
5.3142,12.9879,2.1817
5.2080,13.1060,2.3562
5.1027,13.2017,2.4435
4.9889,13.2871,2.5307
4.8716,13.3677,2.5307
4.7543,13.4483,2.5307
4.6370,13.5289,2.5307
4.5197,13.6095,2.5307
4.4024,13.6901,2.5307
4.2851,13.7707,2.5307
4.1678,13.8513,2.5307
4.0480,13.9280,2.6180
3.9259,14.0056,2.5307
3.8055,14.0857,2.5307
3.6851,14.1659,2.5307
3.5646,14.2460,2.5307
3.4441,14.3260,2.5307
3.3187,14.3980,2.6180
3.1869,14.4576,2.7053
3.0500,14.5042,2.7925
2.9093,14.5375,2.8798
2.7660,14.5570,3.0543
2.6173,14.5626,3.1416
2.4687,14.5534,3.2289
2.3218,14.5296,3.3161
2.1779,14.4913,3.4034
2.0364,14.4449,3.4034
1.8950,14.3984,3.4034
1.7564,14.3439,3.4907
1.6240,14.2760,3.6652
1.4098,14.1260,3.8397
1.2249,13.9411,4.0143
1.0750,13.7270,4.1888
0.9645,13.4900,4.3633
0.9194,13.3433,4.4506
0.8896,13.1927,4.5379
0.8753,13.0399,4.6251
0.8767,12.8864,4.7124
0.8938,12.7339,4.7997
0.9195,12.5825,4.7997
0.9452,12.4311,4.7997
0.9660,12.2790,4.7997
0.9660,12.0175,4.6251
0.9206,11.7600,4.4506
0.8312,11.5143,4.2761
0.7004,11.2879,4.1015
0.5324,11.0876,3.9270
0.3475,10.9027,3.9270
0.1626,10.7178,3.9270
-0.0223,10.5330,3.9270
-0.2072,10.3481,3.9270
-0.3921,10.1632,3.9270
-0.5769,9.9783,3.9270
-0.7618,9.7934,3.9270
-0.9299,9.5931,4.1015
-1.0606,9.3667,4.2761
-1.1501,9.1210,4.4506
-1.2177,8.8684,4.4506
-1.2854,8.6159,4.4506
-1.3531,8.3633,4.4506
-1.4207,8.1108,4.4506
-1.4661,7.8533,4.6251
-1.4661,7.5918,4.7997
-1.4207,7.3343,4.9742
-1.3313,7.0886,5.1487
-1.2208,6.8516,5.1487
-1.1103,6.6147,5.1487
-0.9998,6.3777,5.1487
-0.8893,6.1407,5.1487
-0.7788,5.9037,5.1487
-0.6683,5.6668,5.1487
-0.5578,5.4298,5.1487
-0.4271,5.2034,5.3233
-0.2590,5.0031,5.4978
-0.0587,4.8350,5.6723
0.1677,4.7043,5.8469
0.4047,4.5938,5.8469
0.6417,4.4833,5.8469
0.8786,4.3728,5.8469
1.1156,4.2623,5.8469
1.3526,4.1518,5.8469
1.5895,4.0413,5.8469
1.8352,3.9518,6.0214
2.0927,3.9064,6.1959
2.3542,3.9064,0.0873
2.6117,3.9518,0.2618
2.8574,4.0413,0.4363
3.0944,4.1518,0.4363
3.3313,4.2623,0.4363
3.5683,4.3728,0.4363
3.8053,4.4833,0.4363
4.0510,4.5727,0.2618
4.3035,4.6404,0.2618
4.5561,4.7080,0.2618
4.8018,4.7975,0.4363
5.0282,4.9282,0.6109
5.2285,5.0963,0.7854
5.3966,5.2966,0.9599
5.5273,5.5230,1.1345
5.6378,5.7600,1.1345
5.7483,5.9969,1.1345
5.8378,6.2426,1.3090
5.8832,6.5001,1.4835
5.9060,6.7606,1.4835
5.9287,7.0211,1.4835
5.9515,7.2816,1.4835
5.9515,7.5430,1.6581
5.9287,7.8035,1.6581
5.9060,8.0640,1.6581
5.8832,8.3244,1.6581
5.8604,8.5849,1.6581
5.8376,8.8454,1.6581
5.8148,9.1059,1.6581
5.7920,9.3663,1.6581
5.7692,9.6268,1.6581
5.7692,9.8883,1.4835
5.7920,10.1487,1.4835
5.8148,10.4092,1.4835
5.8376,10.6697,1.4835
5.8604,10.9302,1.4835
5.8604,11.1916,1.6581
5.8150,11.4491,1.8326
5.7473,11.7017,1.8326
5.6796,11.9542,1.8326
5.6120,12.2068,1.8326
5.5225,12.4525,2.0071
5.3918,12.6789,2.1817
5.2237,12.8792,2.3562
5.0388,13.0641,2.3562
4.8540,13.2490,2.3562
4.6691,13.4339,2.3562
4.4842,13.6188,2.3562
4.2993,13.8036,2.3562
4.1144,13.9885,2.3562
3.9141,14.1566,2.5307
3.6877,14.2873,2.7053
3.4420,14.3768,2.8798
3.1845,14.4222,3.0543
2.9230,14.4222,3.2289
2.6655,14.3768,3.4034
2.4198,14.2873,3.5779
2.1829,14.1768,3.5779
1.9459,14.0663,3.5779
1.7195,13.9356,3.7525
1.5192,13.7675,3.9270
1.4204,13.6586,4.0143
1.3328,13.5405,4.1015
1.2572,13.4144,4.1888
1.1943,13.2816,4.2761
1.1447,13.1432,4.3633
1.1089,13.0006,4.4506
1.0872,12.8552,4.5379
1.0798,12.7083,4.6251
1.0869,12.5615,4.7997
1.1024,12.4152,4.7997
1.1180,12.2690,4.7997
1.1336,12.1227,4.7997
1.1492,11.9765,4.7997
1.1648,11.8302,4.7997
1.1784,11.6838,4.7124
1.1791,11.5368,4.6251
1.1654,11.3904,4.5379
1.1375,11.2460,4.4506
1.0955,11.1051,4.3633
1.0400,10.9690,4.2761
0.9093,10.7426,4.1015
0.7412,10.5423,3.9270
0.5409,10.3742,3.7525
0.3145,10.2435,3.5779
0.0775,10.1330,3.5779
-0.1595,10.0225,3.5779
-0.3964,9.9120,3.5779
-0.6229,9.7812,3.7525
-0.8232,9.6132,3.9270
-0.9912,9.4129,4.1015
-1.1220,9.1864,4.2761
-1.2114,8.9407,4.4506
-1.2791,8.6882,4.4506
-1.3468,8.4356,4.4506
-1.4144,8.1831,4.4506
-1.4598,7.9256,4.6251
-1.4598,7.6641,4.7997
-1.4144,7.4066,4.9742
-1.3250,7.1609,5.1487
-1.2145,6.9239,5.1487
-1.1040,6.6870,5.1487
-0.9935,6.4500,5.1487
-0.8830,6.2130,5.1487
-0.7725,5.9760,5.1487
-0.6620,5.7391,5.1487
-0.5313,5.5126,5.3233
-0.3632,5.3123,5.4978
-0.1629,5.1443,5.6723
0.0513,4.9943,5.6723
0.2777,4.8636,5.8469
0.5147,4.7531,5.8469
0.7517,4.6426,5.8469
0.9886,4.5321,5.8469
1.2256,4.4216,5.8469
1.4626,4.3111,5.8469
1.6995,4.2006,5.8469
1.9452,4.1111,6.0214
2.1978,4.0435,6.0214
2.4553,3.9981,6.1959
2.7168,3.9981,0.0873
2.9743,4.0435,0.2618
3.2200,4.1329,0.4363
3.4569,4.2434,0.4363
3.6939,4.3539,0.4363
3.9309,4.4644,0.4363
4.1678,4.5749,0.4363
4.4048,4.6854,0.4363
4.6418,4.7959,0.4363
4.8788,4.9064,0.4363
5.1157,5.0169,0.4363
5.3422,5.1476,0.6109
5.5425,5.3157,0.7854
5.7105,5.5160,0.9599
5.8413,5.7424,1.1345
5.9307,5.9881,1.3090
5.9761,6.2456,1.4835
5.9989,6.5061,1.4835
6.0217,6.7666,1.4835
6.0445,7.0270,1.4835
6.0672,7.2875,1.4835
6.0672,7.5490,1.6581
6.0445,7.8095,1.6581
6.0217,8.0699,1.6581
5.9763,8.3274,1.8326
5.9086,8.5800,1.8326
5.8409,8.8325,1.8326
5.7732,9.0851,1.8326
5.7278,9.3426,1.6581
