x,y
3.964,17.313
3.970,17.213
3.975,17.113
3.977,17.013
3.978,16.913
3.976,16.813
3.971,16.713
3.965,16.613
3.955,16.513
3.942,16.413
3.927,16.313
3.910,16.213
3.891,16.113
3.873,16.013
3.855,15.913
3.840,15.813
3.827,15.713
3.817,15.613
3.809,15.513
3.804,15.413
3.801,15.313
3.800,15.213
3.801,15.113
3.803,15.013
3.809,14.913
3.817,14.813
3.830,14.713
3.849,14.613
3.876,14.513
3.911,14.413
3.956,14.313
4.011,14.213
4.076,14.113
4.149,14.013
4.230,13.913
4.316,13.813
4.406,13.713
4.499,13.613
4.594,13.513
4.689,13.413
4.784,13.313
4.879,13.213
4.971,13.113
5.061,13.013
5.147,12.913
5.230,12.813
5.308,12.713
5.383,12.613
5.453,12.513
5.521,12.413
5.584,12.313
5.644,12.213
5.699,12.113
5.749,12.013
5.794,11.913
5.832,11.813
5.865,11.713
5.893,11.613
5.915,11.513
5.932,11.413
5.944,11.313
5.951,11.213
5.953,11.113
5.950,11.013
5.941,10.913
5.928,10.813
5.911,10.713
5.890,10.613
5.867,10.513
5.843,10.413
5.819,10.313
5.796,10.213
5.775,10.113
5.756,10.013
5.740,9.913
5.727,9.813
5.717,9.713
5.710,9.613
5.706,9.513
5.705,9.413
5.705,9.313
5.709,9.213
5.715,9.113
5.725,9.013
5.738,8.913
5.755,8.813
5.776,8.713
5.801,8.613
5.827,8.513
5.855,8.413
5.881,8.313
5.906,8.213
5.926,8.113
5.943,8.013
5.955,7.913
5.963,7.813
5.967,7.713
5.968,7.613
5.966,7.513
5.961,7.413
5.953,7.313
5.944,7.213
5.934,7.113
5.924,7.013
5.915,6.913
5.907,6.813
5.900,6.713
5.894,6.613
5.889,6.513
5.883,6.413
5.876,6.313
5.867,6.213
5.853,6.113
5.834,6.013
5.807,5.913
5.772,5.814
5.727,5.715
5.672,5.616
5.607,5.518
5.533,5.420
5.452,5.325
5.366,5.232
5.275,5.142
5.181,5.057
5.085,4.978
4.987,4.905
4.889,4.841
4.790,4.786
4.690,4.739
4.591,4.701
4.491,4.670
4.391,4.644
4.291,4.622
4.191,4.601
4.091,4.579
3.991,4.554
3.891,4.525
3.791,4.489
3.691,4.447
3.591,4.400
3.491,4.346
3.391,4.288
3.291,4.225
3.191,4.159
3.091,4.089
2.991,4.016
2.891,3.939
2.791,3.858
2.691,3.773
2.591,3.685
2.491,3.594
2.391,3.500
2.291,3.405
2.192,3.308
2.092,3.210
1.992,3.111
1.893,3.012
1.794,2.912
1.695,2.812
1.598,2.713
1.502,2.613
1.407,2.513
1.316,2.413
1.227,2.313
1.143,2.213
1.065,2.113
0.992,2.013
0.924,1.913
0.862,1.813
0.805,1.713
0.752,1.613
0.702,1.513
0.653,1.413
0.606,1.313
0.559,1.213
0.512,1.113
0.466,1.013
0.419,0.913
0.373,0.813
0.328,0.713
0.283,0.613
0.240,0.513
0.197,0.413
0.155,0.313
0.114,0.213
0.073,0.113
0.032,0.013
-0.009,-0.087
