name,trigger_s,trigger_x,trigger_y,landmark_id,error_x,error_y
L11,16.70,9.6239,5.5814,61,-0.0139,-0.0788
L12,20.90,6.3009,3.5893,62,-0.0935,0.0356
L1,33.50,8.0963,-5.9162,51,-0.0000,0.1200
L2,34.80,9.4037,-5.9162,52,0.0000,-0.0900
L7,53.70,18.6458,3.7444,57,-0.1500,-0.0000
L8,57.60,16.4876,6.5199,58,0.0129,0.1092
L9,59.20,15.0365,6.0610,59,0.0746,-0.1065
L10,63.90,11.5909,2.8733,60,-0.0643,0.0766
