x_m,y_m,yaw_rad
1.9960,20.3400,2.9671
1.7355,20.3628,3.1416
1.4750,20.3400,3.3161
1.2175,20.2946,3.3161
0.9600,20.2492,3.3161
0.7026,20.2038,3.3161
0.4421,20.1810,3.1416
0.2996,20.1743,3.2289
0.1585,20.1540,3.3161
0.0199,20.1204,3.4034
-0.1148,20.0738,3.4907
-0.2446,20.0146,3.5779
-0.3681,19.9434,3.6652
-0.4843,19.8608,3.7525
-0.5922,19.7675,3.8397
-0.6910,19.6647,3.9270
-0.7874,19.5595,3.9270
-0.8837,19.4543,3.9270
-0.9801,19.3491,3.9270
-1.0764,19.2440,3.9270
-1.1728,19.1388,3.9270
-1.2691,19.0336,3.9270
-1.3657,18.9286,3.9270
-1.4689,18.8302,3.8397
-1.5810,18.7421,3.7525
-1.7010,18.6650,3.6652
-1.9380,18.5545,3.4907
-2.1905,18.4868,3.3161
-2.4510,18.4640,3.1416
-2.7115,18.4868,2.9671
-2.9690,18.5322,2.9671
-3.2265,18.5776,2.9671
-3.4840,18.6230,2.9671
-3.7444,18.6458,3.1416
-4.0049,18.6230,3.3161
-4.2624,18.5776,3.3161
-4.5199,18.5322,3.3161
-4.7774,18.4868,3.3161
-5.0349,18.4414,3.3161
-5.2874,18.3737,3.4907
-5.5244,18.2632,3.6652
-5.7386,18.1133,3.8397
-5.9235,17.9284,4.0143
-6.0734,17.7142,4.1888
-6.1839,17.4772,4.3633
-6.2734,17.2315,4.3633
-6.3628,16.9858,4.3633
-6.4522,16.7401,4.3633
-6.5199,16.4876,4.5379
-6.5427,16.2271,4.7124
-6.5199,15.9666,4.8869
-6.4522,15.7141,5.0615
-6.3417,15.4771,5.2360
-6.2110,15.2507,5.2360
-6.0610,15.0365,5.4105
-5.8930,14.8362,5.4105
-5.7249,14.6359,5.4105
-5.5568,14.4356,5.4105
-5.3888,14.2353,5.4105
-5.2207,14.0350,5.4105
-5.0358,13.8501,5.5851
-4.8355,13.6821,5.5851
-4.6352,13.5140,5.5851
-4.4349,13.3459,5.5851
-4.2346,13.1779,5.5851
-4.0497,12.9930,5.4105
-3.8817,12.7927,5.4105
-3.7136,12.5924,5.4105
-3.5455,12.3921,5.4105
-3.3775,12.1918,5.4105
-3.2094,11.9915,5.4105
-3.0413,11.7912,5.4105
-2.8733,11.5909,5.4105
-2.7052,11.3906,5.4105
-2.5371,11.1903,5.4105
-2.3691,10.9900,5.4105
-2.2010,10.7897,5.4105
-2.0510,10.5755,5.2360
-1.9203,10.3491,5.2360
-1.8098,10.1121,5.0615
-1.7203,9.8664,5.0615
-1.6309,9.6207,5.0615
-1.5415,9.3750,5.0615
-1.4521,9.1293,5.0615
-1.3844,8.8768,4.8869
-1.3390,8.6193,4.8869
-1.2936,8.3618,4.8869
-1.2482,8.1043,4.8869
-1.2028,7.8468,4.8869
-1.1574,7.5893,4.8869
-1.1120,7.3318,4.8869
-1.0666,7.0743,4.8869
-1.0212,6.8168,4.8869
-0.9758,6.5593,4.8869
-0.9081,6.3068,5.0615
-0.7976,6.0698,5.2360
-0.6669,5.8434,5.2360
-0.5361,5.6169,5.2360
-0.4054,5.3905,5.2360
-0.2746,5.1640,5.2360
-0.1439,4.9376,5.2360
-0.0132,4.7112,5.2360
0.0973,4.4742,5.0615
0.1867,4.2285,5.0615
0.2762,3.9828,5.0615
0.3656,3.7371,5.0615
0.4550,3.4914,5.0615
0.5445,3.2457,5.0615
0.6339,3.0000,5.0615
0.7233,2.7543,5.0615
0.7910,2.5018,4.8869
0.8090,2.3607,4.7124
0.8136,2.2185,4.6251
0.8047,2.0765,4.5379
0.7824,1.9361,4.4506
0.7469,1.7983,4.3633
0.6985,1.6646,4.2761
0.6376,1.5360,4.1888
0.5649,1.4138,4.1015
0.4832,1.2973,4.0143
0.4007,1.1814,4.0143
0.3183,1.0654,4.0143
0.2369,0.9487,4.1015
0.1651,0.8259,4.1888
0.1052,0.6969,4.2761
0.0579,0.5628,4.3633
0.0234,0.4248,4.4506
0.0022,0.2841,4.5379
-0.0057,0.1421,4.6251
-0.0000,0.0000,4.7997
