name,trigger_s,trigger_x,trigger_y,landmark_id,error_x,error_y
L11,16.70,-5.5814,9.6239,61,0.0788,-0.0139
L12,20.90,-3.5893,6.3009,62,-0.0356,-0.0935
L1,33.50,5.9162,8.0963,51,-0.1200,0.0000
L2,34.80,5.9162,9.4037,52,0.0900,0.0000
L7,53.70,-3.7444,18.6458,57,0.0000,-0.1500
L8,57.60,-6.5199,16.4876,58,-0.1092,0.0129
L9,59.20,-6.0610,15.0365,59,0.1065,0.0746
L10,63.90,-2.8733,11.5909,60,-0.0766,-0.0643
