x_m,y_m,yaw_rad
-0.0000,0.0000,1.5708
0.0239,0.1812,1.3090
0.0711,0.3577,1.3090
0.1184,0.5342,1.3090
0.1657,0.7107,1.3090
0.2130,0.8872,1.3090
0.2603,1.0637,1.3090
0.3303,1.2325,1.0472
0.4216,1.3908,1.0472
0.5130,1.5491,1.0472
0.6044,1.7073,1.0472
0.6957,1.8656,1.0472
0.7871,2.0238,1.0472
0.8570,2.1926,1.3090
0.8809,2.3738,1.5708
0.8570,2.5550,1.8326
0.8097,2.7315,1.8326
0.7624,2.9080,1.8326
0.7151,3.0845,1.8326
0.6679,3.2610,1.8326
0.6206,3.4375,1.8326
0.5733,3.6141,1.8326
0.5260,3.7906,1.8326
0.4560,3.9594,2.0944
0.3647,4.1176,2.0944
0.2733,4.2759,2.0944
0.1819,4.4342,2.0944
0.0906,4.5924,2.0944
-0.0008,4.7507,2.0944
-0.0922,4.9089,2.0944
-0.1835,5.0672,2.0944
-0.2749,5.2254,2.0944
-0.3663,5.3837,2.0944
-0.4576,5.5419,2.0944
-0.5490,5.7002,2.0944
-0.6404,5.8584,2.0944
-0.7318,6.0167,2.0944
-0.8231,6.1750,2.0944
-0.9145,6.3332,2.0944
-1.0059,6.4915,2.0944
-1.0972,6.6497,2.0944
-1.1886,6.8080,2.0944
-1.2585,6.9768,1.8326
-1.2824,7.1580,1.5708
-1.2824,7.3407,1.5708
-1.2824,7.5234,1.5708
-1.2824,7.7062,1.5708
-1.2824,7.8889,1.5708
-1.2824,8.0717,1.5708
-1.2824,8.2544,1.5708
-1.2824,8.4371,1.5708
-1.2824,8.6199,1.5708
-1.2824,8.8026,1.5708
-1.2824,8.9853,1.5708
-1.3062,9.1665,1.8326
-1.3762,9.3353,2.0944
-1.4675,9.4936,2.0944
-1.5589,9.6518,2.0944
-1.6503,9.8101,2.0944
-1.7416,9.9684,2.0944
-1.8330,10.1266,2.0944
-1.9244,10.2849,2.0944
-2.0157,10.4431,2.0944
-2.1270,10.5881,2.3562
-2.2562,10.7173,2.3562
-2.3854,10.8465,2.3562
-2.5146,10.9757,2.3562
-2.6438,11.1050,2.3562
-2.7731,11.2342,2.3562
-2.9023,11.3634,2.3562
-3.0315,11.4926,2.3562
-3.1607,11.6218,2.3562
-3.2719,11.7668,2.0944
-3.3633,11.9250,2.0944
-3.4547,12.0833,2.0944
-3.5460,12.2416,2.0944
-3.6374,12.3998,2.0944
-3.7487,12.5448,2.3562
-3.8779,12.6740,2.3562
-4.0071,12.8032,2.3562
-4.1363,12.9324,2.3562
-4.2655,13.0616,2.3562
-4.3947,13.1909,2.3562
-4.5239,13.3201,2.3562
-4.6532,13.4493,2.3562
-4.7824,13.5785,2.3562
-4.9116,13.7077,2.3562
-5.0408,13.8369,2.3562
-5.1700,13.9661,2.3562
-5.2992,14.0954,2.3562
-5.4284,14.2246,2.3562
-5.5577,14.3538,2.3562
-5.6869,14.4830,2.3562
-5.8161,14.6122,2.3562
-5.9453,14.7414,2.3562
-6.0745,14.8706,2.3562
-6.1858,15.0156,2.0944
-6.2771,15.1739,2.0944
-6.3685,15.3321,2.0944
-6.4599,15.4904,2.0944
-6.5512,15.6486,2.0944
-6.6212,15.8175,1.8326
-6.6450,15.9986,1.5708
-6.6212,16.1798,1.3090
-6.5739,16.3563,1.3090
-6.5266,16.5328,1.3090
-6.5027,16.7140,1.5708
-6.4878,16.8579,1.3090
-6.4436,16.9956,1.1345
-6.3766,17.1241,1.0472
-6.3074,17.2514,1.0472
-6.2383,17.3787,1.0472
-6.1691,17.5061,1.0472
-6.1000,17.6334,1.0472
-6.0308,17.7607,1.0472
-5.9616,17.8881,1.0472
-5.8925,18.0154,1.0472
-5.8233,18.1428,1.0472
-5.7542,18.2701,1.0472
-5.6850,18.3974,1.0472
-5.6158,18.5248,1.0472
-5.5467,18.6521,1.0472
-5.4775,18.7794,1.0472
-5.4084,18.9068,1.0472
-5.3390,19.0340,1.0472
-5.2278,19.1790,0.7854
-5.0828,19.2902,0.5236
-4.9140,19.3601,0.2618
-4.7328,19.3840,0.0000
-4.5516,19.3601,6.0214
-4.3828,19.2902,5.7596
-4.2245,19.1988,5.7596
-4.0663,19.1075,5.7596
-3.9080,19.0161,5.7596
-3.7498,18.9247,5.7596
-3.5915,18.8334,5.7596
-3.4333,18.7420,5.7596
-3.2750,18.6506,5.7596
-3.1062,18.5807,6.0214
-2.9250,18.5568,0.0000
-2.7438,18.5807,0.2618
-2.5673,18.6280,0.2618
-2.3908,18.6753,0.2618
-2.2220,18.7452,0.5236
-2.0637,18.8366,0.5236
-1.9055,18.9280,0.5236
-1.7472,19.0193,0.5236
-1.5890,19.1107,0.5236
-1.4307,19.2021,0.5236
-1.2724,19.2934,0.5236
-1.1142,19.3848,0.5236
-0.9559,19.4762,0.5236
-0.7977,19.5675,0.5236
-0.6394,19.6589,0.5236
-0.4812,19.7503,0.5236
-0.3229,19.8417,0.5236
-0.1647,19.9330,0.5236
-0.0064,20.0244,0.5236
0.1518,20.1158,0.5236
0.3101,20.2071,0.5236
0.4789,20.2771,0.2618
0.6601,20.3009,0.0000
0.8428,20.3009,0.0000
1.0256,20.3009,0.0000
1.2083,20.3009,0.0000
1.3910,20.3009,0.0000
1.5738,20.3009,0.0000
1.7565,20.3009,0.0000
1.9393,20.3009,0.0000
2.1220,20.3009,0.0000
2.3047,20.3009,0.0000
2.4875,20.3009,0.0000
2.6702,20.3009,0.0000
2.8529,20.3009,0.0000
3.0357,20.3009,0.0000
3.2184,20.3009,0.0000
3.3996,20.2771,6.0214
3.5761,20.2298,6.0214
3.7526,20.1825,6.0214
3.9338,20.1586,0.0000
4.1165,20.1586,0.0000
4.2993,20.1586,0.0000
4.4804,20.1825,0.2618
4.6493,20.2524,0.5236
4.7942,20.3636,0.7854
4.9234,20.4929,0.7854
5.0527,20.6221,0.7854
5.1639,20.7671,1.0472
5.2553,20.9253,1.0472
5.3373,21.0407,0.8727
5.4259,21.1514,0.8727
5.5144,21.2621,0.8727
5.6029,21.3728,0.8727
5.6915,21.4836,0.8727
5.7800,21.5943,0.8727
5.8685,21.7050,0.8727
5.9571,21.8157,0.8727
6.0456,21.9264,0.8727
6.1341,22.0372,0.8727
6.2227,22.1479,0.8727
6.3112,22.2586,0.8727
6.3997,22.3693,0.8727
6.4883,22.4800,0.8727
6.5768,22.5907,0.8727
6.6653,22.7015,0.8727
6.7539,22.8122,0.8727
6.8424,22.9229,0.8727
6.9309,23.0336,0.8727
7.0130,23.1490,1.0472
7.1942,23.1251,6.0214
7.3630,23.0552,5.7596
7.5080,22.9440,5.4978
7.6192,22.7990,5.2360
7.6891,22.6302,4.9742
7.7130,22.4490,4.7124
7.6891,22.2678,4.4506
7.6419,22.0913,4.4506
7.5946,21.9148,4.4506
7.5473,21.7383,4.4506
7.5234,21.5571,4.7124
7.5234,21.3744,4.7124
7.4996,21.1932,4.4506
7.4296,21.0244,4.1888
7.3184,20.8794,3.9270
7.1734,20.7682,3.6652
7.0046,20.6982,3.4034
6.8281,20.6509,3.4034
6.6516,20.6036,3.4034
6.4750,20.5563,3.4034
6.2985,20.5091,3.4034
