x_m,y_m,yaw_rad
0.0000,-0.0000,4.9742
0.0454,-0.2575,4.7997
0.0454,-0.5190,4.6251
-0.0000,-0.7765,4.4506
-0.0894,-1.0222,4.2761
-0.2202,-1.2486,4.1015
-0.3701,-1.4628,4.1015
-0.5201,-1.6770,4.1015
-0.6508,-1.9034,4.2761
-0.7403,-2.1491,4.4506
-0.7857,-2.4066,4.6251
-0.7857,-2.6681,4.7997
-0.7403,-2.9255,4.9742
-0.6726,-3.1781,4.9742
-0.5832,-3.4238,5.1487
-0.4727,-3.6608,5.1487
-0.3622,-3.8977,5.1487
-0.2314,-4.1242,5.3233
-0.0634,-4.3245,5.4978
0.1369,-4.4925,5.6723
0.3634,-4.6233,5.8469
0.6003,-4.7338,5.8469
0.8373,-4.8443,5.8469
1.0638,-4.9750,5.6723
1.2779,-5.1250,5.6723
1.4921,-5.2750,5.6723
1.6124,-5.3540,5.6723
1.7332,-5.4322,5.6723
1.8523,-5.5129,5.5851
1.9636,-5.6040,5.4978
2.0657,-5.7053,5.4105
2.1576,-5.8160,5.3233
2.2385,-5.9350,5.2360
2.3076,-6.0612,5.1487
2.3643,-6.1934,5.0615
2.4080,-6.3304,4.8869
2.4385,-6.4710,4.7997
2.4553,-6.6138,4.7124
2.4584,-6.7577,4.6251
2.4477,-6.9011,4.5379
2.4233,-7.0429,4.4506
2.3854,-7.1817,4.3633
2.3344,-7.3162,4.2761
2.2708,-7.4452,4.1888
2.1951,-7.5675,4.1015
2.1080,-7.6820,4.0143
1.9580,-7.8962,4.1888
1.8273,-8.1226,4.1888
1.6966,-8.3491,4.1888
1.5861,-8.5860,4.3633
1.5184,-8.8386,4.5379
1.4956,-9.0991,4.7124
1.5184,-9.3595,4.8869
1.5861,-9.6121,5.0615
1.6966,-9.8491,5.2360
1.8465,-10.0632,5.4105
2.0146,-10.2635,5.4105
2.1827,-10.4638,5.4105
2.3676,-10.6487,5.5851
2.5817,-10.7987,5.7596
2.8187,-10.9092,5.9341
3.0713,-10.9769,6.1087
3.3317,-10.9996,6.2832
3.5922,-10.9769,6.4577
3.8497,-10.9315,6.4577
4.1072,-10.8861,6.4577
4.3647,-10.8406,6.4577
4.6172,-10.7730,6.6323
4.8542,-10.6625,6.8068
5.0684,-10.5125,6.9813
5.2533,-10.3276,7.1559
5.4033,-10.1134,7.3304
5.5138,-9.8765,7.5049
5.5814,-9.6239,7.6795
5.6042,-9.3634,7.8540
5.5814,-9.1030,8.0285
5.5138,-8.8504,8.2031
5.4243,-8.6047,8.2031
5.3349,-8.3590,8.2031
5.2455,-8.1133,8.2031
5.1560,-7.8676,8.2031
5.0666,-7.6219,8.2031
4.9772,-7.3762,8.2031
4.8667,-7.1392,8.3776
4.7167,-6.9251,8.5521
4.5318,-6.7402,8.7267
4.3177,-6.5902,8.9012
4.0807,-6.4797,9.0757
3.8350,-6.3903,9.0757
3.5893,-6.3009,9.0757
3.3436,-6.2114,9.0757
3.0979,-6.1220,9.0757
2.8522,-6.0326,9.0757
2.6065,-5.9431,9.0757
2.3608,-5.8537,9.0757
2.1151,-5.7643,9.0757
1.8694,-5.6749,9.0757
1.6237,-5.5854,9.0757
1.3780,-5.4960,9.0757
1.1323,-5.4066,9.0757
0.8866,-5.3172,9.0757
0.6409,-5.2277,9.0757
0.3952,-5.1383,9.0757
0.1495,-5.0489,9.0757
-0.0962,-4.9594,9.0757
-0.3332,-4.8489,8.9012
-0.5596,-4.7182,8.9012
-0.7860,-4.5875,8.9012
-1.0125,-4.4567,8.9012
-1.2389,-4.3260,8.9012
-1.4759,-4.2155,9.0757
-1.7284,-4.1478,9.2503
-1.9889,-4.1250,3.1416
-2.2494,-4.1478,3.3161
-2.5069,-4.1932,3.3161
-2.7644,-4.2386,3.3161
-3.0219,-4.2840,3.3161
-3.2744,-4.3517,3.4907
-3.5201,-4.4411,3.4907
-3.7658,-4.5306,3.4907
-4.0028,-4.6411,3.6652
-4.2292,-4.7718,3.6652
-4.3596,-4.8391,3.4907
-4.4956,-4.8943,3.4907
-4.6329,-4.9465,3.4907
-4.7701,-4.9986,3.4907
-4.9073,-5.0507,3.4907
-5.0437,-5.1051,3.4907
-5.1747,-5.1712,3.5779
-5.2989,-5.2493,3.6652
-5.4152,-5.3388,3.8397
-5.5225,-5.4390,3.9270
-5.6198,-5.5488,4.0143
-5.7064,-5.6673,4.1015
-5.7813,-5.7935,4.1888
-5.8439,-5.9262,4.2761
-5.8938,-6.0642,4.3633
-5.9303,-6.2064,4.4506
-5.9532,-6.3513,4.5379
-5.9624,-6.4978,4.6251
-5.9576,-6.6444,4.7124
-5.9390,-6.7900,4.8869
-5.9162,-7.0505,4.7124
-5.9162,-7.3119,4.7124
-5.9162,-7.5734,4.7124
-5.9162,-7.8349,4.7124
-5.9162,-8.0963,4.7124
-5.9162,-8.3578,4.7124
-5.9162,-8.6193,4.7124
-5.9162,-8.8807,4.7124
-5.9162,-9.1422,4.7124
-5.9162,-9.4037,4.7124
-5.9162,-9.6651,4.7124
-5.9162,-9.9266,4.7124
-5.9162,-10.1881,4.7124
-5.9162,-10.4495,4.7124
-5.9162,-10.7110,4.7124
-5.8934,-10.9715,4.8869
-5.8667,-11.1113,4.8869
-5.8359,-11.2503,4.8869
-5.8010,-11.3883,4.8869
-5.7622,-11.5252,4.9742
-5.7194,-11.6610,4.9742
-5.6727,-11.7955,4.9742
-5.6221,-11.9285,5.0615
-5.5677,-12.0601,5.0615
-5.5116,-12.1909,5.0615
-5.4556,-12.3218,5.0615
-5.3995,-12.4526,5.0615
-5.3434,-12.5835,5.0615
-5.2852,-12.7133,5.1487
-5.2231,-12.8414,5.1487
-5.1574,-12.9677,5.1487
-5.0880,-13.0920,5.2360
-4.9380,-13.3062,5.4105
-4.7700,-13.5065,5.4105
-4.6019,-13.7068,5.4105
-4.4338,-13.9071,5.4105
-4.2658,-14.1074,5.4105
-4.1158,-14.3215,5.2360
-4.0053,-14.5585,5.0615
-3.9376,-14.8111,4.8869
-3.9148,-15.0715,4.7124
-3.9148,-15.3330,4.7124
-3.9148,-15.5945,4.7124
-3.9148,-15.8559,4.7124
-3.9148,-16.1174,4.7124
-3.9148,-16.3789,4.7124
-3.9148,-16.6403,4.7124
-3.9148,-16.9018,4.7124
-3.9148,-17.1633,4.7124
-3.9148,-17.4247,4.7124
-3.9148,-17.6862,4.7124
-3.9148,-17.9477,4.7124
-3.9148,-18.2092,4.7124
-3.9148,-18.4706,4.7124
-3.8920,-18.7311,4.8869
-3.8244,-18.9837,5.0615
-3.7139,-19.2206,5.2360
-3.5639,-19.4348,5.4105
-3.3790,-19.6197,5.5851
-3.1648,-19.7697,5.7596
-2.9384,-19.9004,5.7596
-2.7119,-20.0311,5.7596
-2.4855,-20.1619,5.7596
-2.2485,-20.2724,5.9341
-1.9960,-20.3400,6.1087
-1.7355,-20.3628,6.2832
-1.4750,-20.3400,6.4577
-1.2175,-20.2946,6.4577
-0.9600,-20.2492,6.4577
-0.7026,-20.2038,6.4577
-0.4421,-20.1810,6.2832
-0.2996,-20.1743,6.3705
-0.1585,-20.1540,6.4577
-0.0199,-20.1204,6.5450
0.1148,-20.0738,6.6323
0.2446,-20.0146,6.7195
0.3681,-19.9434,6.8068
0.4843,-19.8608,6.8941
0.5922,-19.7675,6.9813
0.6910,-19.6647,7.0686
0.7874,-19.5595,7.0686
0.8837,-19.4543,7.0686
0.9801,-19.3491,7.0686
1.0764,-19.2440,7.0686
1.1728,-19.1388,7.0686
1.2691,-19.0336,7.0686
1.3657,-18.9286,7.0686
1.4689,-18.8302,6.9813
1.5810,-18.7421,6.8941
1.7010,-18.6650,6.8068
1.9380,-18.5545,6.6323
2.1905,-18.4868,6.4577
2.4510,-18.4640,6.2832
2.7115,-18.4868,6.1087
2.9690,-18.5322,6.1087
3.2265,-18.5776,6.1087
3.4840,-18.6230,6.1087
3.7444,-18.6458,6.2832
4.0049,-18.6230,6.4577
4.2624,-18.5776,6.4577
4.5199,-18.5322,6.4577
4.7774,-18.4868,6.4577
5.0349,-18.4414,6.4577
5.2874,-18.3737,6.6323
5.5244,-18.2632,6.8068
5.7386,-18.1133,6.9813
5.9235,-17.9284,7.1559
6.0734,-17.7142,7.3304
6.1839,-17.4772,7.5049
6.2734,-17.2315,7.5049
6.3628,-16.9858,7.5049
6.4522,-16.7401,7.5049
6.5199,-16.4876,7.6795
6.5427,-16.2271,7.8540
6.5199,-15.9666,8.0285
6.4522,-15.7141,8.2031
6.3417,-15.4771,8.3776
6.2110,-15.2507,8.3776
6.0610,-15.0365,8.5521
5.8930,-14.8362,8.5521
5.7249,-14.6359,8.5521
5.5568,-14.4356,8.5521
5.3888,-14.2353,8.5521
5.2207,-14.0350,8.5521
5.0358,-13.8501,8.7267
4.8355,-13.6821,8.7267
4.6352,-13.5140,8.7267
4.4349,-13.3459,8.7267
4.2346,-13.1779,8.7267
4.0497,-12.9930,8.5521
3.8817,-12.7927,8.5521
3.7136,-12.5924,8.5521
3.5455,-12.3921,8.5521
3.3775,-12.1918,8.5521
3.2094,-11.9915,8.5521
3.0413,-11.7912,8.5521
2.8733,-11.5909,8.5521
2.7052,-11.3906,8.5521
2.5371,-11.1903,8.5521
2.3691,-10.9900,8.5521
2.2010,-10.7897,8.5521
2.0510,-10.5755,8.3776
1.9203,-10.3491,8.3776
1.8098,-10.1121,8.2031
1.7203,-9.8664,8.2031
1.6309,-9.6207,8.2031
1.5415,-9.3750,8.2031
1.4521,-9.1293,8.2031
1.3844,-8.8768,8.0285
1.3390,-8.6193,8.0285
1.2936,-8.3618,8.0285
1.2482,-8.1043,8.0285
1.2028,-7.8468,8.0285
1.1574,-7.5893,8.0285
1.1120,-7.3318,8.0285
1.0666,-7.0743,8.0285
1.0212,-6.8168,8.0285
0.9758,-6.5593,8.0285
0.9081,-6.3068,8.2031
0.7976,-6.0698,8.3776
0.6669,-5.8434,8.3776
0.5361,-5.6169,8.3776
0.4054,-5.3905,8.3776
0.2746,-5.1640,8.3776
0.1439,-4.9376,8.3776
0.0132,-4.7112,8.3776
-0.0973,-4.4742,8.2031
-0.1867,-4.2285,8.2031
-0.2762,-3.9828,8.2031
-0.3656,-3.7371,8.2031
-0.4550,-3.4914,8.2031
-0.5445,-3.2457,8.2031
-0.6339,-3.0000,8.2031
-0.7233,-2.7543,8.2031
-0.7910,-2.5018,8.0285
-0.8090,-2.3607,7.8540
-0.8136,-2.2185,7.7667
-0.8047,-2.0765,7.6795
-0.7824,-1.9361,7.5922
-0.7469,-1.7983,7.5049
-0.6985,-1.6646,7.4177
-0.6376,-1.5360,7.3304
-0.5649,-1.4138,7.2431
-0.4832,-1.2973,7.1559
-0.4007,-1.1814,7.1559
-0.3183,-1.0654,7.1559
-0.2369,-0.9487,7.2431
-0.1651,-0.8259,7.3304
-0.1052,-0.6969,7.4177
-0.0579,-0.5628,7.5049
-0.0234,-0.4248,7.5922
-0.0022,-0.2841,7.6795
0.0057,-0.1421,7.7667
