x_m,y_m,yaw_rad
19.7697,-3.1648,1.0472
19.9004,-2.9384,1.0472
20.0311,-2.7119,1.0472
20.1619,-2.4855,1.0472
20.2724,-2.2485,1.2217
20.3400,-1.9960,1.3963
20.3628,-1.7355,1.5708
20.3400,-1.4750,1.7453
20.2946,-1.2175,1.7453
20.2492,-0.9600,1.7453
20.2038,-0.7026,1.7453
20.1810,-0.4421,1.5708
20.1743,-0.2996,1.6581
20.1540,-0.1585,1.7453
20.1204,-0.0199,1.8326
20.0738,0.1148,1.9199
20.0146,0.2446,2.0071
19.9434,0.3681,2.0944
19.8608,0.4843,2.1817
19.7675,0.5922,2.2689
19.6647,0.6910,2.3562
19.5595,0.7874,2.3562
19.4543,0.8837,2.3562
19.3491,0.9801,2.3562
19.2440,1.0764,2.3562
19.1388,1.1728,2.3562
19.0336,1.2691,2.3562
18.9286,1.3657,2.3562
18.8302,1.4689,2.2689
18.7421,1.5810,2.1817
18.6650,1.7010,2.0944
18.5545,1.9380,1.9199
18.4868,2.1905,1.7453
18.4640,2.4510,1.5708
18.4868,2.7115,1.3963
18.5322,2.9690,1.3963
18.5776,3.2265,1.3963
18.6230,3.4840,1.3963
18.6458,3.7444,1.5708
18.6230,4.0049,1.7453
18.5776,4.2624,1.7453
18.5322,4.5199,1.7453
18.4868,4.7774,1.7453
18.4414,5.0349,1.7453
18.3737,5.2874,1.9199
18.2632,5.5244,2.0944
18.1133,5.7386,2.2689
17.9284,5.9235,2.4435
17.7142,6.0734,2.6180
17.4772,6.1839,2.7925
17.2315,6.2734,2.7925
16.9858,6.3628,2.7925
16.7401,6.4522,2.7925
16.4876,6.5199,2.9671
16.2271,6.5427,3.1416
15.9666,6.5199,3.3161
15.7141,6.4522,3.4907
15.4771,6.3417,3.6652
15.2507,6.2110,3.6652
15.0365,6.0610,3.8397
14.8362,5.8930,3.8397
14.6359,5.7249,3.8397
14.4356,5.5568,3.8397
14.2353,5.3888,3.8397
14.0350,5.2207,3.8397
13.8501,5.0358,4.0143
13.6821,4.8355,4.0143
13.5140,4.6352,4.0143
13.3459,4.4349,4.0143
13.1779,4.2346,4.0143
12.9930,4.0497,3.8397
12.7927,3.8817,3.8397
12.5924,3.7136,3.8397
12.3921,3.5455,3.8397
12.1918,3.3775,3.8397
11.9915,3.2094,3.8397
11.7912,3.0413,3.8397
11.5909,2.8733,3.8397
11.3906,2.7052,3.8397
11.1903,2.5371,3.8397
10.9900,2.3691,3.8397
10.7897,2.2010,3.8397
10.5755,2.0510,3.6652
10.3491,1.9203,3.6652
10.1121,1.8098,3.4907
9.8664,1.7203,3.4907
9.6207,1.6309,3.4907
9.3750,1.5415,3.4907
9.1293,1.4521,3.4907
8.8768,1.3844,3.3161
8.6193,1.3390,3.3161
8.3618,1.2936,3.3161
8.1043,1.2482,3.3161
7.8468,1.2028,3.3161
7.5893,1.1574,3.3161
7.3318,1.1120,3.3161
